"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что API возвращает 404 при попытке авторизации с неверными данными","274","Ошибка авторизации для несуществующего логина или пароля","tests","Sun Aug 17 13:10:16 GMT+05:00 2025","passed","Sun Aug 17 13:10:16 GMT+05:00 2025","TestCourierLogin","test_login_courier","",""
"Проверяем, что повторная попытка создать курьера с тем же логином возвращает 409","1000","Попытка создать дубликат курьера","tests","Sun Aug 17 13:10:04 GMT+05:00 2025","passed","Sun Aug 17 13:10:05 GMT+05:00 2025","TestCourierCreation","test_create_courier","",""
"","301","Создание курьера с отсутствующими обязательными полями","tests","Sun Aug 17 13:10:05 GMT+05:00 2025","passed","Sun Aug 17 13:10:05 GMT+05:00 2025","","test_create_courier","",""
"Проверяем, что API возвращает 400 при попытке авторизоваться с пустым полем","865","Ошибка авторизации при пустом login или password","tests","Sun Aug 17 13:10:14 GMT+05:00 2025","passed","Sun Aug 17 13:10:15 GMT+05:00 2025","TestCourierLogin","test_login_courier","",""
"Проверяем, что можно создать заказ с разными вариантами цветов: только чёрный, только серый, оба цвета или без цвета","318","Создание заказа с разными вариантами цвета","tests","Sun Aug 17 13:10:06 GMT+05:00 2025","passed","Sun Aug 17 13:10:06 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"Проверяем, что API возвращает 404 при попытке авторизации с неверными данными","334","Ошибка авторизации для несуществующего логина или пароля","tests","Sun Aug 17 13:10:15 GMT+05:00 2025","passed","Sun Aug 17 13:10:16 GMT+05:00 2025","TestCourierLogin","test_login_courier","",""
"Проверяем, что API возвращает 400 при попытке авторизоваться с пустым полем","901","Ошибка авторизации при пустом login или password","tests","Sun Aug 17 13:10:13 GMT+05:00 2025","passed","Sun Aug 17 13:10:14 GMT+05:00 2025","TestCourierLogin","test_login_courier","",""
"Проверяем, что API возвращает список заказов с корректным статус-кодом и структурой ответа","5188","Получение списка всех заказов","tests","Sun Aug 17 13:10:07 GMT+05:00 2025","passed","Sun Aug 17 13:10:12 GMT+05:00 2025","TestOrdersList","test_list_order","",""
"Проверяем, что можно создать заказ с разными вариантами цветов: только чёрный, только серый, оба цвета или без цвета","355","Создание заказа с разными вариантами цвета","tests","Sun Aug 17 13:10:06 GMT+05:00 2025","passed","Sun Aug 17 13:10:06 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","248","Создание курьера с отсутствующими обязательными полями","tests","Sun Aug 17 13:10:05 GMT+05:00 2025","passed","Sun Aug 17 13:10:06 GMT+05:00 2025","","test_create_courier","",""
"Проверяем, что можно создать курьера с уникальными логином и паролем, а затем получить его ID через API","763","Создание нового курьера с валидными данными","tests","Sun Aug 17 13:10:03 GMT+05:00 2025","passed","Sun Aug 17 13:10:03 GMT+05:00 2025","TestCourierCreation","test_create_courier","",""
"Проверяем, что можно создать заказ с разными вариантами цветов: только чёрный, только серый, оба цвета или без цвета","242","Создание заказа с разными вариантами цвета","tests","Sun Aug 17 13:10:06 GMT+05:00 2025","passed","Sun Aug 17 13:10:07 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"Проверяем, что курьер с валидными данными может авторизоваться и получить ID","545","Успешная авторизация курьера","tests","Sun Aug 17 13:10:12 GMT+05:00 2025","passed","Sun Aug 17 13:10:13 GMT+05:00 2025","TestCourierLogin","test_login_courier","",""
"Проверяем, что можно создать заказ с разными вариантами цветов: только чёрный, только серый, оба цвета или без цвета","301","Создание заказа с разными вариантами цвета","tests","Sun Aug 17 13:10:07 GMT+05:00 2025","passed","Sun Aug 17 13:10:07 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
